service_id,date,exception_type
IntLMMVcp,20230503,1
IntLMMVcp,20230505,1
IntLMMVcp,20230508,1
IntLMMVcp,20230509,1
IntLMMVcp,20230510,1
IntLMMVcp,20230512,1
IntLMMVcp,20230515,1
IntLMMVcp,20230516,1
IntLMMVcp,20230517,1
IntLMMVcp,20230519,1
IntLMMVcp,20230522,1
IntLMMVcp,20230523,1
IntLMMVcp,20230524,1
IntLMMVcp,20230526,1
IntLMMVcp,20230529,1
IntLMMVcp,20230530,1
IntLMMVcp,20230531,1
IntLMMVcp,20230605,1
IntLMMVcp,20230606,1
IntLMMVcp,20230607,1
IntLMMVcp,20230918,1
IntLMMVcp,20230919,1
IntLMMVcp,20230920,1
IntLMMVcp,20230922,1
IntLMMVcp,20230925,1
IntLMMVcp,20230926,1
IntLMMVcp,20230927,1
IntLMMVcp,20230929,1
IntLMMVcp,20231002,1
IntLMMVcp,20231003,1
IntLMMVcp,20231004,1
IntLMMVcp,20231006,1
IntLMMVcp,20231009,1
IntLMMVcp,20231010,1
IntLMMVcp,20231011,1
IntLMMVcp,20231013,1
IntLMMVcp,20231016,1
IntLMMVcp,20231017,1
IntLMMVcp,20231018,1
IntLMMVcp,20231020,1
IntLMMVcp,20231023,1
IntLMMVcp,20231024,1
IntLMMVcp,20231025,1
IntLMMVcp,20231027,1
IntLMMVcp,20231030,1
IntLMMVcp,20231031,1
IntLMMVcp,20231103,1
IntLMMVcp,20231106,1
IntLMMVcp,20231107,1
IntLMMVcp,20231108,1
IntLMMVcp,20231110,1
IntLMMVcp,20231113,1
IntLMMVcp,20231114,1
IntLMMVcp,20231115,1
IntLMMVcp,20231117,1
IntLMMVcp,20231120,1
IntLMMVcp,20231121,1
IntLMMVcp,20231122,1
IntLMMVcp,20231124,1
IntLMMVcp,20231127,1
IntLMMVcp,20231128,1
IntLMMVcp,20231129,1
IntLMMVcp,20231201,1
IntLMMVcp,20231204,1
IntLMMVcp,20231205,1
IntLMMVcp,20231206,1
IntLMMVcp,20231211,1
IntLMMVcp,20231212,1
IntLMMVcp,20231213,1
IntLMMVcp,20231215,1
IntLMMVcp,20231218,1
IntLMMVcp,20231219,1
IntLMMVcp,20231220,1
IntLMMVcp,20231222,1
IntLMMVcp,20231227,1
IntLMMVcp,20231229,1
IntSurbCP,20230408,1
IntSurbCP,20230415,1
IntSurbCP,20230422,1
IntSurbCP,20230429,1
IntSurbCP,20230506,1
IntSurbCP,20230513,1
IntSurbCP,20230520,1
IntSurbCP,20230527,1
IntSurbCP,20230603,1
IntSurbCP,20230923,1
IntSurbCP,20230930,1
IntSurbCP,20231007,1
IntSurbCP,20231014,1
IntSurbCP,20231021,1
IntSurbCP,20231028,1
IntSurbCP,20231104,1
IntSurbCP,20231111,1
IntSurbCP,20231118,1
IntSurbCP,20231125,1
IntSurbCP,20231202,1
IntSurbCP,20231209,1
IntSurbCP,20231216,1
IntSurbCP,20231223,1
IntSurbCP,20231230,1
MISTO_NScolL-S,20230406,1
MISTO_NScolL-S,20230407,1
MISTO_NScolL-S,20230408,1
MISTO_NScolL-S,20230411,1
MISTO_NScolL-S,20230608,1
MISTO_NScolL-S,20230609,1
MISTO_NScolL-S,20230610,1
MISTO_NScolL-S,20230612,1
MISTO_NScolL-S,20230613,1
MISTO_NScolL-S,20230614,1
MISTO_NScolL-S,20230615,1
MISTO_NScolL-S,20230616,1
MISTO_NScolL-S,20230617,1
MISTO_NScolL-S,20230619,1
MISTO_NScolL-S,20230620,1
MISTO_NScolL-S,20230621,1
MISTO_NScolL-S,20230622,1
MISTO_NScolL-S,20230623,1
MISTO_NScolL-S,20230624,1
MISTO_NScolL-S,20230626,1
MISTO_NScolL-S,20230627,1
MISTO_NScolL-S,20230628,1
MISTO_NScolL-S,20230629,1
MISTO_NScolL-S,20230630,1
MISTO_NScolL-S,20230701,1
MISTO_NScolL-S,20230703,1
MISTO_NScolL-S,20230704,1
MISTO_NScolL-S,20230705,1
MISTO_NScolL-S,20230706,1
MISTO_NScolL-S,20230707,1
MISTO_NScolL-S,20230708,1
MISTO_NScolL-S,20230710,1
MISTO_NScolL-S,20230711,1
MISTO_NScolL-S,20230712,1
MISTO_NScolL-S,20230713,1
MISTO_NScolL-S,20230714,1
MISTO_NScolL-S,20230715,1
MISTO_NScolL-S,20230717,1
MISTO_NScolL-S,20230718,1
MISTO_NScolL-S,20230719,1
MISTO_NScolL-S,20230720,1
MISTO_NScolL-S,20230721,1
MISTO_NScolL-S,20230722,1
MISTO_NScolL-S,20230724,1
MISTO_NScolL-S,20230725,1
MISTO_NScolL-S,20230726,1
MISTO_NScolL-S,20230727,1
MISTO_NScolL-S,20230728,1
MISTO_NScolL-S,20230729,1
MISTO_NScolL-S,20230801,1
MISTO_NScolL-S,20230802,1
MISTO_NScolL-S,20230803,1
MISTO_NScolL-S,20230804,1
MISTO_NScolL-S,20230805,1
MISTO_NScolL-S,20230807,1
MISTO_NScolL-S,20230808,1
MISTO_NScolL-S,20230809,1
MISTO_NScolL-S,20230810,1
MISTO_NScolL-S,20230811,1
MISTO_NScolL-S,20230812,1
MISTO_NScolL-S,20230814,1
MISTO_NScolL-S,20230816,1
MISTO_NScolL-S,20230817,1
MISTO_NScolL-S,20230818,1
MISTO_NScolL-S,20230819,1
MISTO_NScolL-S,20230821,1
MISTO_NScolL-S,20230822,1
MISTO_NScolL-S,20230823,1
MISTO_NScolL-S,20230824,1
MISTO_NScolL-S,20230825,1
MISTO_NScolL-S,20230826,1
MISTO_NScolL-S,20230828,1
MISTO_NScolL-S,20230829,1
MISTO_NScolL-S,20230830,1
MISTO_NScolL-S,20230831,1
MISTO_NScolL-S,20230901,1
MISTO_NScolL-S,20230902,1
MISTO_NScolL-S,20230904,1
MISTO_NScolL-S,20230905,1
MISTO_NScolL-S,20230906,1
MISTO_NScolL-S,20230907,1
MISTO_NScolL-S,20230908,1
MISTO_NScolL-S,20230909,1
MISTO_NScolL-S,20230911,1
MISTO_NScolL-S,20230912,1
