service_id,day,exception_type
MISTO_NScolL-V,2023-06-26,1
MISTO_NScolL-V,2023-06-27,1
MISTO_NScolL-V,2023-06-28,1
MISTO_NScolL-V,2023-06-29,1
MISTO_NScolL-V,2023-06-30,1
MISTO_NScolL-V,2023-07-03,1
MISTO_NScolL-V,2023-07-04,1
MISTO_NScolL-V,2023-07-05,1
MISTO_NScolL-V,2023-07-06,1
MISTO_NScolL-V,2023-07-07,1
MISTO_NScolL-V,2023-07-10,1
MISTO_NScolL-V,2023-07-11,1
MISTO_NScolL-V,2023-07-12,1
MISTO_NScolL-V,2023-07-13,1
MISTO_NScolL-V,2023-07-14,1
MISTO_NScolL-V,2023-07-17,1
MISTO_NScolL-V,2023-07-18,1
MISTO_NScolL-V,2023-07-19,1
MISTO_NScolL-V,2023-07-20,1
MISTO_NScolL-V,2023-07-21,1
MISTO_NScolL-V,2023-07-24,1
MISTO_NScolL-V,2023-07-25,1
MISTO_NScolL-V,2023-07-26,1
MISTO_NScolL-V,2023-07-27,1
MISTO_NScolL-V,2023-07-28,1
MISTO_NScolL-V,2023-07-31,1
MISTO_NScolL-V,2023-08-01,1
MISTO_NScolL-V,2023-08-02,1
MISTO_NScolL-V,2023-08-03,1
MISTO_NScolL-V,2023-08-04,1
MISTO_NScolL-V,2023-08-07,1
MISTO_NScolL-V,2023-08-08,1
MISTO_NScolL-V,2023-08-09,1
MISTO_NScolL-V,2023-08-10,1
MISTO_NScolL-V,2023-08-11,1
MISTO_NScolL-V,2023-08-14,1
MISTO_NScolL-V,2023-08-16,1
MISTO_NScolL-V,2023-08-17,1
MISTO_NScolL-V,2023-08-18,1
MISTO_NScolL-V,2023-08-21,1
MISTO_NScolL-V,2023-08-22,1
MISTO_NScolL-V,2023-08-23,1
MISTO_NScolL-V,2023-08-24,1
MISTO_NScolL-V,2023-08-25,1
MISTO_NScolL-V,2023-08-28,1
MISTO_NScolL-V,2023-08-29,1
MISTO_NScolL-V,2023-08-30,1
MISTO_NScolL-V,2023-08-31,1
MISTO_NScolL-V,2023-09-01,1
MISTO_NScolL-V,2023-09-04,1
MISTO_NScolL-V,2023-09-05,1
MISTO_NScolL-V,2023-09-06,1
MISTO_NScolL-V,2023-09-07,1
MISTO_NScolL-V,2023-09-08,1
MISTO_NScolL-V,2023-09-11,1
MISTO_NScolL-V,2023-09-12,1
MISTO_NScolL-V,2023-09-13,1
MISTO_NScolL-V,2023-09-14,1
MISTO_NScolL-V,2023-09-15,1
MISTO_NScolL-V,2023-11-02,1
MISTO_NScolL-V,2023-12-01,1
MISTO_NScolL-V,2023-12-27,1
MISTO_NScolL-V,2023-12-28,1
MISTO_NScolL-V,2023-12-29,1
MISTO_NScolS,2023-04-08,1
MISTO_NScolS,2023-06-10,1
MISTO_NScolS,2023-06-17,1
MISTO_NScolS,2023-06-24,1
MISTO_NScolS,2023-07-01,1
MISTO_NScolS,2023-07-08,1
MISTO_NScolS,2023-07-15,1
MISTO_NScolS,2023-07-22,1
MISTO_NScolS,2023-07-29,1
MISTO_NScolS,2023-08-05,1
MISTO_NScolS,2023-08-12,1
MISTO_NScolS,2023-08-19,1
MISTO_NScolS,2023-08-26,1
MISTO_NScolS,2023-09-02,1
MISTO_NScolS,2023-09-09,1
MISTO_NScolS,2023-09-16,1
MISTO_NScolS,2023-12-02,1
MISTO_NScolS,2023-12-30,1
MISTO_NscolL-Surb,2023-04-06,1
MISTO_NscolL-Surb,2023-04-07,1
MISTO_NscolL-Surb,2023-04-08,1
MISTO_NscolL-Surb,2023-04-11,1
MISTO_NscolL-Surb,2023-06-08,1
MISTO_NscolL-Surb,2023-06-09,1
MISTO_NscolL-Surb,2023-06-10,1
MISTO_NscolL-Surb,2023-06-12,1
MISTO_NscolL-Surb,2023-06-13,1
MISTO_NscolL-Surb,2023-06-14,1
MISTO_NscolL-Surb,2023-06-15,1
